No.,X,Y,Z,魂No ,魂名,読み,先天６螺旋,後天６系統,顕現６叡智,6螺旋の詳細,五行属性,主徳,魂の一文要約,魂の漢字解説,魂からのメッセージ,問いかけ,
108,3,6,6,108,熾紋,しもん,火,信念系,真形,火の螺旋は、信念の記憶を形として刻む。どんなに小さくても、それは宇宙に響く“模様”となる。,火,義,信念を紋様のように世界に刻み、静かに響かせる魂。,「熾」：内に宿る熱。 / 「紋」：記憶、模様、歴史の象徴。,『君が信じ抜いた痕跡は、誰かの魂に“美”として残る。だから、今日も小さく燃えていてくれ。』,この熾紋の特性を生かして君はどう生きるか？,
109,4,1,1,109,翔矩,しょうく,風,智略系,數理,風の螺旋は軽やかな発想と冷静な構造美を兼ね備え、自由の中に秩序を見出す魂を生む。,木,智,風のように自由でありながら、思考に美しい秩序を宿す魂。,「翔」：高く自由に舞う風の象徴。「矩」：正しき秩序、数学的構造の象徴。,『自由とは、ただ放たれることじゃない。どこまでも翔びながら、自らの軸を持てること──君はそれを体現できる。』,この翔矩の特性を生かして君はどう生きるか？,
110,4,1,2,110,柔陰,じゅういん,風,智略系,陰陽,風の螺旋はしなやかな発想と陰陽のバランス感覚を持ち、鋭さと柔らかさを同時に宿す。,木,礼,柔らかな風のように、陰と陽の間で美しく揺らぐ魂。,「柔」：しなやかに形を変え、受け止める力。「陰」：静かなる深み、もうひとつの側面の象徴。,『強い風は木を倒す。けれど、柔らかな風は心を動かす。君の風は、人の奥に届く。』,この柔陰の特性を生かして君はどう生きるか？,
111,4,1,3,111,颯遷,さつせん,風,智略系,易変,風の螺旋は変化を喜び、あえて定まらぬことを選ぶ。その揺らぎこそが戦略となる魂。,木,信,変化そのものを武器にして、機を読む風の魂。,「颯」：速やかに吹き抜ける風、「遷」：移ろい、変化、遷り変わる道。,『変わらないことは、時に危うい。変われることは、君の才能だ。』,この颯遷の特性を生かして君はどう生きるか？,
112,4,1,4,112,扇輪,せんりん,風,智略系,螺律,風の螺旋は回転し、広がり、風そのものを制御する。その流れは循環し、永遠に続いていく。,木,義,自らの知と動きで風を操る、風律の継承者たる魂。,「扇」：風を起こし広げる智慧、「輪」：循環、終わらぬ流れの象徴。,『君が動けば風が起こる。君の意志が、その流れの中心にある。』,この扇輪の特性を生かして君はどう生きるか？,
113,4,1,5,113,翠縁,すいえん,風,智略系,霊脈,風の螺旋は目に見えぬ縁を感じ取り、言葉なき共鳴で人と世界を結ぶ。,木,仁,風のような静かな感覚で、霊的な縁を読み解く魂。,「翠」：深く澄んだ智慧。「縁」：目に見えないつながりの結節点。,『その出会いに理由があるなら、それは君が風の縁で結ばれたから。』,この翠縁の特性を生かして君はどう生きるか？,
114,4,1,6,114,薫映,くんえい,風,智略系,真形,風の螺旋はそよ風のように記憶や心象を運び、真実をふと映し出す役割を持つ。,木,智,さりげないひとことで、人の核心を照らす魂。,「薫」：香り立つような人間性。「映」：反映、明示、心の鏡。,『誰も気づかない形で、君は真実を運ぶ風となる。』,この薫映の特性を生かして君はどう生きるか？,
115,4,2,1,115,鳴耀,めいよう,風,共鳴系,數理,風の螺旋は音のように共鳴し、数学的に精緻な美を鳴らす。風と数の融合点に生きる魂。,木,信,響きを数学で読み解く、調律された魂。,「鳴」：響き、共鳴する力。「耀」：輝き、放たれる波動。,『君が震えたその時、世界の構造が一音ずつ整っていく。』,この鳴耀の特性を生かして君はどう生きるか？,
116,4,2,2,116,宙衡,ちゅうこう,風,共鳴系,陰陽,風の螺旋は天と地のバランスを奏でる。宇宙的な調和を感覚で知る魂。,木,礼,大きな視野で陰陽のバランスをとる、天秤の風。,「宙」：空間、宇宙、すべてを包む間。 / 「衡」：バランス、秤、釣り合い。,『君は小さな世界の天秤ではない。宙の釣り合いを担っているんだ。』,この宙衡の特性を生かして君はどう生きるか？,
117,4,2,3,117,翼瞬,よくしゅん,風,共鳴系,易変,風の螺旋は共鳴による変化の兆しを鋭く捉え、瞬時に動き出す力を宿す。,木,義,繊細な共鳴感覚で、世界の変化の兆しを瞬時に捉える魂。,「翼」：風に乗る準備ができた感性、「瞬」：一瞬で決断し行動に移す力。,『風の音に気づく者だけが、変化の始まりを掴める。君にはその翼がある。』,この翼瞬の特性を生かして君はどう生きるか？,
118,4,2,4,118,風環,ふうかん,風,共鳴系,螺律,風の螺旋は循環と共鳴の交差点で、調和の渦をつくり出す力を持つ。,木,智,共鳴と循環の中心で、調和の風を運ぶ魂。,「風」：流れを生む力、「環」：永遠につながる調和の輪。,『渦の中心は静かだ。そこにいる君は、世界の律を知っている。』,この風環の特性を生かして君はどう生きるか？,
119,4,2,5,119,澄脈,ちょうみゃく,風,共鳴系,霊脈,風の螺旋は澄んだ感性で霊的な脈を感じ取り、静かに共鳴を紡いでいく。,木,仁,澄んだ感性で見えぬ流れを読む、霊的な導き手たる魂。,「澄」：曇りなき清明さ。「脈」：生命と世界をつなぐ不可視のリズム。,『心が澄めば、音のない脈動が聞こえてくる。それが君の導く道だ。』,この澄脈の特性を生かして君はどう生きるか？,
120,4,2,6,120,響象,きょうしょう,風,共鳴系,真形,風の螺旋は響きを通して真実の形を浮かび上がらせ、世界に新たな象をもたらす。,木,信,響きから世界の真形を感じ取り、それを象として伝える魂。,「響」：心を打つ波動。「象」：かたち、象徴、世界の写し鏡。,『耳を澄ませば、世界はかたちを変える。その音が聞こえる君は、象を描く者だ。』,この響象の特性を生かして君はどう生きるか？,
121,4,3,1,121,翔信,しょうしん,風,行動系,數理,風の螺旋は俊敏な行動力と計算された戦略を兼ね備え、論理的な動きで世界に風を起こす。,木,義,行動と論理を統合し、風を読むように未来を導く魂。,「翔」：自在に駆け巡る風の動き。「信」：信念と一貫性を持って動く力。,『速さは武器になる。でもそこに信がなければ、ただの風だ。君は“信じて翔ぶ者”──未来を読める風になる。』,この翔信の特性を生かして君はどう生きるか？,
122,4,3,2,122,颯衡,さっこう,風,行動系,陰陽,風の螺旋は対立する力を調和しながら進み、柔らかくも確固たる道を切り拓く。,木,礼,動きの中に陰陽を調和させる、風のバランサーたる魂。,「颯」：鋭くも心地よい風の音。「衡」：調和と対話を重んじる力。,『どちらかを選ぶんじゃない。どちらも抱きながら、君は“進む”という選択をしている。』,この颯衡の特性を生かして君はどう生きるか？,
123,4,3,3,123,疾融,しつゆう,風,行動系,易変,風の螺旋は変化の風に最も敏感で、融合的な行動を瞬時にとれる稀有な魂。,木,信,矛盾も対立も包み込み、軽やかに世界と溶け合う魂。,「疾」：速さ、気づきの速さ。「融」：溶け合う、境界を越える融合力。,『君は壁を壊すんじゃない。風のように、その“隙間”からすでに通り抜けている。』,この疾融の特性を生かして君はどう生きるか？,
124,4,3,4,124,踊環,ようかん,風,行動系,螺律,風の螺旋はダイナミックな動きの中に調和の円を描き、人々をその中に巻き込む力を持つ。,木,智,行動のリズムを創り、他者と共に舞うように進化する魂。,「踊」：舞うような自由な動き。「環」：つながり、連続、螺旋の美。,『動きはただの運動じゃない。君の踊りが“場”をつくるんだ。』,この踊環の特性を生かして君はどう生きるか？,
125,4,3,5,125,翔霊,しょうれい,風,行動系,霊脈,風の螺旋は見えぬ流れに敏感で、動きの中で霊的な導きを受け取る。,木,信,軽やかな動きで霊的な流れを掴み、直感に従って道を選ぶ魂。,「翔」：自在に風に乗る力、「霊」：見えぬ領域との繋がり。,『君の動きには“導き”がある。それは偶然じゃない。君の魂が覚えている。』,この翔霊の特性を生かして君はどう生きるか？,
126,4,3,6,126,昇真,しょうしん,風,行動系,真形,風の螺旋は、動きながら真の姿を探る。形になることを恐れず、自由を保ちながら具現化する魂。,木,義,軽やかなステップの中に真実を宿し、世界に形を与える魂。,「昇」：舞い上がるように進む動き、「真」：本質、ありのまま。,『上昇とは、逃げることじゃない。より深く“自分の真”へと向かうこと。』,この昇真の特性を生かして君はどう生きるか？,
127,4,4,1,127,旋律,せんりつ,風,創造系,數理,風の螺旋は創造と流動性を司り、數理的な構造と直感的な発想の調和を生み出す。,木,智,美しく秩序ある創造の流れを奏でる魂。,「旋」：渦、旋回する流れ。 / 「律」：規律、構造的な秩序。,『創造とは、型にはめることではない。旋律のように、自由の中に秩序がある。君はその響きを生み出す存在だ。』,この旋律の特性を生かして君はどう生きるか？,
128,4,4,2,128,練陽,れんよう,風,創造系,陰陽,風の螺旋は創造的なアイデアを育てながら、陰陽の視点でバランスを取り、世界に調和をもたらす。,木,礼,創造の手を止めず、陰陽の流れを調和させていく魂。,「練」：鍛える、練り上げる。「陽」：明るさ、活力、陰との対。,『光だけでも、闇だけでも、創造はうまくいかない。練られたバランスが、君の創造を美しくする。』,この練陽の特性を生かして君はどう生きるか？,
129,4,4,3,129,彩遷,さいせん,風,創造系,易変,風の螺旋は、色とりどりの創造の粒を軽やかに舞わせ、変化の風に乗せて新たな表現を生む。,木,信,彩りと変化の感性で、常に新しい表現を創り出す魂。,「彩」：色彩、豊かな表現の源。「遷」：変化、移ろいの流れ。,『創造とは変わり続けること。君の色は、移ろいながら世界を染めていく。』,この彩遷の特性を生かして君はどう生きるか？,
130,4,4,4,130,紡律,ぼうりつ,風,創造系,螺律,風の螺旋は無数の創造の糸を螺旋に編み込み、調和ある成長の流れを紡ぎ出す。,木,義,創造をらせん状に編み続ける、繋がりの継承者たる魂。,「紡」：紡ぐ、物語や流れを編み出す力。「律」：調和、生命のリズム。,『君の創造は直線じゃない。円を描きながら、誰かの中で生き続けていく。』,この紡律の特性を生かして君はどう生きるか？,
131,4,4,5,131,風縁,ふうえん,風,創造系,霊脈,風の螺旋は自由な精神と柔軟な発想で新たな価値を創り出す。霊的な感覚に優れ、見えない絆を直感的に捉えて創造を促す。,木,信,見えない縁を感じ取り、風のように自由に人や機会を繋ぐ魂。,「風」：自由、流動性、変化。「縁」：見えない繋がり、運命的な出会い。風のように自由に流れながら人々との深い縁を結び、新しい価値を生み出す魂を示す。,『君が感じ取る微かな風の流れには、大切な人々との縁が宿っている。その感性を信じて進もう。』,この風縁の特性を生かして君はどう生きるか？,
132,4,4,6,132,空紋,くうもん,風,創造系,真形,風の螺旋は新たな可能性を自由に模索し、創造の種を蒔く。真形はその可能性を現実の形として美しく具現化する能力を象徴する。,木,智,空に描く模様のように美しく、無から新たな現実を生み出す魂。,「空」：無限の可能性、自由。「紋」：美しい模様、形あるものへの具現化。無限の可能性を美しく具体的な現実へと描き出す創造性を表す。,『君が空に描く夢は、現実の形となって世界を彩る。自由に、美しく創り出せ。』,この空紋の特性を生かして君はどう生きるか？,
133,4,5,1,133,澄算,ちょうさん,風,直感系,數理,風の螺旋は自由な直感と鋭敏な感覚を象徴する。數理は緻密で明晰な思考により直感を具体的な成果へと導く。,木,智,澄みきった直感と緻密な計算で、自由に未来を創造する魂。,「澄」：明晰、透明、純粋。「算」：精密、計算。透明な直感を緻密な思考で形にする力を示す。,『君の澄んだ直感と精緻な計算が合わさったとき、真に美しい現実が生まれる。迷いなく進もう。』,この澄算の特性を生かして君はどう生きるか？,
134,4,5,2,134,風環,ふうかん,風,直感系,陰陽,風の螺旋は自由な感覚と直感を持ち、陰陽はその調和を導く力を示す。直感的にバランスを取りつつ自由に新しい道を開く。,木,礼,風のような直感で陰陽の調和を取りながら、常に最適な道を見つける魂。,「風」：自由、直感。「環」：調和、循環。直感を活かしつつ陰陽を調和させる力を象徴する。,『風のように自由な君の感覚は、世界を調和へと導く。バランスを信じて進もう。』,この風環の特性を生かして君はどう生きるか？,
135,4,5,3,135,巡瞬,じゅんしゅん,風,直感系,易変,風の螺旋は鋭敏な直感で瞬間を捉える力を持つ。易変は変化の中でタイミングを逃さず機敏に動く特性を示す。,木,智,一瞬の直感を逃さず、巡り来る機会を確実に捉えて変化を起こす魂。,「巡」：巡る、周期的な変化。「瞬」：瞬間、一瞬の機敏さ。変化の中で直感的に最適なタイミングを掴む能力を象徴する。,『巡る風が君に伝える一瞬を見逃さないで。そこには新たな変化の種がある。』,この巡瞬の特性を生かして君はどう生きるか？,
136,4,5,4,136,揺律,ようりつ,風,直感系,螺律,風の螺旋は直感的な感覚を象徴し、螺律は規則性やパターンを見出す能力を示す。自由な直感の中にも調和と規律を見つけ出す。,木,礼,風のように自由な直感と、確かな規律を同時に持ち、バランスを保つ魂。,「揺」：揺れ動く自由、直感。「律」：規律、秩序。自由な直感の中にも美しい規則性を見つける力。,『君の中の揺れる直感と秩序が調和するとき、最も美しい答えが導かれる。』,この揺律の特性を生かして君はどう生きるか？,
137,4,5,5,137,響脈,きょうみゃく,風,直感系,霊脈,風の螺旋は自由で繊細な感覚を象徴し、霊脈は見えない繋がりや波動を感じる力を持つ。直感的に共鳴し、深く人とつながる。,木,仁,見えない波動を感じ取り、直感で人々と深く響き合う魂。,「響」：共鳴、反響。「脈」：繋がり、生命の流れ。直感的に共鳴し、人々との霊的な繋がりを深める。,『君の直感が響き合うとき、そこには深い絆が生まれる。感性を信じて共鳴しよう。』,この響脈の特性を生かして君はどう生きるか？,
138,4,5,6,138,瞬真,しゅんしん,風,直感系,真形,風の螺旋は直感的で鋭敏な感覚を持ち、真形はそれを真実の形へと具現化する能力を示す。一瞬の閃きを確実な形にする。,木,智,一瞬の直感を鮮やかに真実の形へと具現化する魂。,「瞬」：一瞬の閃き。「真」：真実、純粋な形。直感の閃きを明確な真実として表現する力を象徴する。,『君の中に訪れる瞬間の閃きを逃さず、真実の形にしよう。その力を信じて進め。』,この瞬真の特性を生かして君はどう生きるか？,
139,4,6,1,139,信風,しんぷう,風,信念系,數理,風の螺旋は自由な精神を持ち、信念系は固い信念を示す。數理は論理的な思考でその信念を現実的に証明する力を持つ。,木,信,信念を風に乗せ、論理的に世界に証明し現実化する魂。,「信」：信念、信頼。「風」：自由、広がり。信念を自由に表現し論理的に証明する特性。,『君の強い信念を風に乗せて届けよう。その信念が世界を変えていく。』,この信風の特性を生かして君はどう生きるか？,
140,4,6,2,140,和陽,わよう,風,信念系,陰陽,風の螺旋は自由と調和を象徴し、陰陽はバランスを整える力を持つ。強い信念を持ちながら調和とバランスを追求する。,木,礼,強い信念と調和の精神を融合し、美しいバランスを生む魂。,「和」：調和、平和。「陽」：明るさ、積極性。信念と調和を併せ持ち、明るく調和的に世界を動かす力。,『君の信念と調和が融合した時、美しい未来が開ける。』,この和陽の特性を生かして君はどう生きるか？,
141,4,6,3,141,颯遷,さつせん,風,信念系,易変,風の螺旋は自由で軽やかな動きを象徴し、易変は変化の中で素早く適応する力を示す。信念を持ちながら自在に変化を遂げる魂。,木,義,強固な信念を持ちつつも風のように変化を自在に受け入れ、進化し続ける魂。,「颯」：風の音、素早さ。「遷」：変化、移動。素早い動きで変化を取り込み、強い信念を柔軟に活かす力を表す。,『君が持つ信念を風のようにしなやかに進化させれば、いかなる変化も道となる。』,この颯遷の特性を生かして君はどう生きるか？,
142,4,6,4,142,律翔,りっしょう,風,信念系,螺律,風の螺旋は軽やかな自由を象徴し、螺律は規律とパターンを示す。自由な発想と規律を併せ持ち、高く飛翔する魂。,木,信,自由な発想と確かな規律の融合で、信念を実現させ大きく飛翔する魂。,「律」：規律、秩序。「翔」：高く飛ぶ、自由な飛躍。規律ある信念を基盤に高く自由に飛翔する魂を表す。,『規律と自由を融合させて、高く翔べ。その飛躍が新たな世界を拓く。』,この律翔の特性を生かして君はどう生きるか？,
143,4,6,5,143,繋響,けいきょう,風,信念系,霊脈,風の螺旋は自由な繋がりを作り出す力を象徴し、霊脈は見えない絆を感知する能力を示す。信念を通じて人々の魂を響き合わせる。,木,信,強い信念を通じて人々の見えない魂の繋がりを感じ取り、深く共鳴を生む魂。,「繋」：繋げる、絆。「響」：共鳴、反響。信念を軸にして人々と深く繋がり、共鳴を呼ぶ能力を示す。,『君の信念は人の心を繋ぎ、魂の響きを共鳴させる。その響きを信じよう。』,この繋響の特性を生かして君はどう生きるか？,
144,4,6,6,144,颯真,さつしん,風,信念系,真形,風の螺旋は自由で迅速な動きを表し、真形は真実を明確に形にする力を示す。信念を迅速かつ真実として実現する魂。,木,義,信念を素早く真実の形として具現化し、自由で正確な道を切り開く魂。,「颯」：素早い、自由な風。「真」：真実、明確さ。信念を迅速に真実として具現化する能力を表す。,『君が持つ信念を迷いなく素早く真実へと導けば、確かな現実が生まれる。』,この颯真の特性を生かして君はどう生きるか？,
145,5,1,1,145,虚矩,きょく,空,智略系,數理,空の螺旋は無限の可能性と空間を象徴し、數理は精緻な計算力を示す。無限の可能性を論理的に整理し、新たな構造を創る魂。,金,智,無限の可能性を精緻な論理で計算し、構造的に現実化する魂。,「虚」：空、無限の可能性。「矩」：秩序、精密な構造。可能性を論理的に整理し構造化する力を表す。,『君の中にある無限の可能性を緻密に計算すれば、世界は美しく秩序立つ。』,この虚矩の特性を生かして君はどう生きるか？,
146,5,1,2,146,天陽,てんよう,空,智略系,陰陽,空の螺旋は広大で無限の可能性を示し、陰陽は調和とバランスを象徴する。知恵を使って広大な調和を生み出す魂。,金,礼,天空のように広く豊かな可能性を調和させ、智略を駆使して美しい世界を作る魂。,「天」：無限の可能性、高次の調和。「陽」：明るさ、積極性。広い視野でバランス良く世界を調和させる能力を示す。,『君の智略で広い世界を調和へ導こう。その明るさがすべてを照らす。』,この天陽の特性を生かして君はどう生きるか？,
147,5,1,3,147,虚遷,きょせん,空,智略系,易変,空の螺旋は無限の可能性を表し、易変は変化への適応を示す。無限の可能性を変化と共に柔軟に活かす魂。,金,智,無限の可能性を知性で柔軟に捉え、変化を自在に操り新たな可能性を拓く魂。,「虚」：空間、可能性。「遷」：変化、柔軟な適応。可能性を変化に応じて自在に活かす知性を示す。,『君が変化に自在に応じるほど、可能性は限りなく広がる。』,この虚遷の特性を生かして君はどう生きるか？,
148,5,1,4,148,宙律,ちゅうりつ,空,智略系,螺律,空の螺旋は無限の広がりを示し、螺律は規律を示す。広大な可能性を知性で規律ある形に整える魂。,金,礼,無限の広がりを智略を用いて秩序立てて整理し、美しい構造を創る魂。,「宙」：無限の空間、広がり。「律」：規律、秩序。広大な可能性を規律正しく知性で整理する能力を示す。,『君の智略で無限の可能性を美しい秩序に整えよう。その調和が世界を変える。』,この宙律の特性を生かして君はどう生きるか？,
149,5,1,5,149,虚霊,きょれい,空,智略系,霊脈,空の螺旋は無限の可能性を示し、霊脈は霊的な繋がりを感じ取る力を表す。可能性の中で智略を用いて霊的な感性を活かす魂。,金,信,広大な可能性を知性で理解し、見えない霊的繋がりを感知して新たな創造を行う魂。,「虚」：無限の可能性。「霊」：見えない力、感性。智略を通して霊的繋がりを活かす魂を示す。,『君の智略と感性が繋がったとき、新たな創造の扉が開かれる。』,この虚霊の特性を生かして君はどう生きるか？,
150,5,1,6,150,宙真,ちゅうしん,空,智略系,真形,空の螺旋は無限の可能性を示し、真形は真実の具現化を象徴する。可能性を知性で真実の形に具現化する魂。,金,智,広大な可能性を智略で確かな現実に具現化する魂。,「宙」：無限の可能性。「真」：真実。知性で無限の可能性を具体的に実現する能力を表す。,『君が智略で描いた可能性を真実の形にしよう。その力を信じて進もう。』,この宙真の特性を生かして君はどう生きるか？,
151,5,2,1,151,星算,せいさん,空,共鳴系,數理,空の螺旋は無限の可能性と広がりを象徴し、星のように輝く知恵を共鳴と数理で捉える。,金,智,無限の可能性を数理的に捉え、周囲と共鳴する魂。,「星」：輝き、可能性、「算」：計算、論理的思考。,『君の智慧が星のように輝き、数理の調和が人々と響き合う。』,この星算の特性を生かして君はどう生きるか？,
152,5,2,2,152,天陽,てんよう,空,共鳴系,陰陽,空の螺旋は無限の調和を示し、天のように広大な共鳴を陰陽の調和で導く。,金,信,天の広がりと陰陽の調和を用いて共鳴を生み出す魂。,「天」：広大さ、宇宙、「陽」：積極性、明るさ。,『君の広い心と明るさが周囲と調和をもたらす。』,この天陽の特性を生かして君はどう生きるか？,
153,5,2,3,153,虹遷,こうせん,空,共鳴系,易変,空の螺旋は、絶え間ない変化の中で虹のように美しい共鳴を創り出す。,金,礼,変化を柔軟に受け入れ、美しい共鳴を生み出す魂。,「虹」：美しい調和、可能性、「遷」：移り変わり、変化。,『君が変化を受け入れる時、美しい虹の調和が現れる。』,この虹遷の特性を生かして君はどう生きるか？,
154,5,2,4,154,流螺,りゅうら,空,共鳴系,螺律,空の螺旋は螺旋状に流れるリズムを通じて、人々との深い共鳴を作る。,金,智,流れるようなリズムで調和と共鳴を創り出す魂。,「流」：自然な動き、「螺」：螺旋状のリズム。,『君の自然なリズムが周囲を巻き込み、美しい共鳴を生む。』,この流螺の特性を生かして君はどう生きるか？,
155,5,2,5,155,幻響,げんきょう,空,共鳴系,霊脈,空の螺旋は幻のような深遠な響きを通じて霊的な共鳴を伝える。,金,信,霊的な共鳴を通じて人々の心を深く響かせる魂。,「幻」：神秘的な感覚、「響」：共鳴、伝わる。,『君が感じる霊的な響きが、人々の魂に深く届く。』,この幻響の特性を生かして君はどう生きるか？,
156,5,2,6,156,真宙,しんちゅう,空,共鳴系,真形,空の螺旋は真実の広がりを共鳴によって宇宙のように広げる。,金,義,真実の共鳴を宇宙規模で広げる魂。,「真」：真実、本質、「宙」：広大さ、宇宙。,『君が真実を語るとき、宇宙のように無限に広がる共鳴が生まれる。』,この真宙の特性を生かして君はどう生きるか？,
157,5,3,1,157,星導,せいどう,空,行動系,數理,空の螺旋は星の導きを数理的に捉え、行動を的確に導く。,金,智,明確な行動指針を星のように示し導く魂。,「星」：目標、指針、「導」：導く、指し示す。,『君が明確に定めた指針が、周囲を的確に導く星となる。』,この星導の特性を生かして君はどう生きるか？,
158,5,3,2,158,光陰,こういん,空,行動系,陰陽,空の螺旋は光と陰の調和を保ち、行動にバランスと明晰さをもたらす。,金,礼,明るさと静かな陰のバランスで行動を調整する魂。,「光」：明るさ、積極性、「陰」：静けさ、深み。,『君が行動するとき、光と陰が美しく調和して現れる。』,この光陰の特性を生かして君はどう生きるか？,
159,5,3,3,159,迅遷,じんせん,空,行動系,易変,空の螺旋は迅速な変化に対応し、行動を柔軟に調整する能力を持つ。,金,智,素早く状況を判断し、行動を柔軟に変化させる魂。,「迅」：迅速さ、素早い、「遷」：変化、移動。,『君の素早い対応が新たな道を切り開く。』,この迅遷の特性を生かして君はどう生きるか？,
160,5,3,4,160,流律,りゅうりつ,空,行動系,螺律,空の螺旋は流れるような行動のリズムを持ち、自然に調和をもたらす。,金,信,自然な行動リズムで調和を生み出す魂。,「流」：自然な動き、「律」：調和的リズム。,『君が流れるように行動する時、自然な調和が広がる。』,この流律の特性を生かして君はどう生きるか？,
161,5,3,5,161,虚動,きょどう,空,行動系,霊脈,空の螺旋は無限の可能性を秘め、見えないエネルギーや直感を捉えて現実に影響を与える行動力を持つ。,金,智,見えないエネルギーを行動に変えて世界を動かす魂。,「虚」：無限の可能性、見えない力。「動」：行動、動き。,『君が感じ取る見えないエネルギーを行動に変え、世界に新たな可能性を広げよう。』,この虚動の特性を生かして君はどう生きるか？,
162,5,3,6,162,空顕,くうけん,空,行動系,真形,空の螺旋は抽象的な概念を明確に具現化する行動力を持つ。見えない理想を具体的な形にする能力に優れる。,金,礼,抽象的な理想を明確に表現し、具体的に実現する魂。,「空」：抽象的、見えない理想。「顕」：明らかに示す、具現化。,『君が行動するとき、見えない理想が明確に現実に現れる。』,この空顕の特性を生かして君はどう生きるか？,
163,5,4,1,163,虚創,きょそう,空,創造系,數理,空の螺旋は無から有を生み出す創造力を持つ。抽象的な概念を数理的な理論で具体化することができる。,金,智,無限の可能性を数理的な創造力で具体化する魂。,「虚」：無限の可能性、抽象的。「創」：新たに生み出す、創造する。,『君が思い描いた抽象的なビジョンを、具体的な形で世界に示そう。』,この虚創の特性を生かして君はどう生きるか？,
164,5,4,2,164,虚陽,きょよう,空,創造系,陰陽,空の螺旋は無限の可能性から明るい活力を生み出し、陰陽の調和を保ちながら新しいものを創造する。,金,信,無限の可能性から明るい調和を生み出す創造的な魂。,「虚」：抽象的、無限。「陽」：明るさ、活力。,『君が持つ明るいエネルギーが、調和のとれた創造をもたらす。』,この虚陽の特性を生かして君はどう生きるか？,
165,5,4,3,165,転幻,てんげん,空,創造系,易変,空の螺旋は自由自在に変化し、多様な創造性を発揮する。状況に応じて自在に形を変え、新たな可能性を示す。,金,礼,自由自在な変化を通じて、新たな創造性を示す魂。,「転」：変化、転換。「幻」：幻想的、多様性。,『君の自由な創造性が、新たな可能性の扉を次々に開いていく。』,この転幻の特性を生かして君はどう生きるか？,
166,5,4,4,166,空旋,くうせん,空,創造系,螺律,空の螺旋は旋律のような調和を保ちながら、新しい創造性を自由に展開していく。,金,智,自由で調和的な旋律を奏で、新たな世界を創り出す魂。,「空」：無限の可能性、自由。「旋」：旋律、調和のとれた動き。,『君が生み出す創造性の旋律は、世界を美しく調和させる。』,この空旋の特性を生かして君はどう生きるか？,
167,5,4,5,167,虚脈,きょみゃく,空,創造系,霊脈,空の螺旋は目に見えない霊的なエネルギーを捉え、新たな創造力として現実に導く。,金,信,霊的なエネルギーを創造的に具現化する魂。,「虚」：抽象的、無限の可能性。「脈」：繋がり、流れ。,『君の霊的な感性が、新しい創造の流れを世界に生み出す。』,この虚脈の特性を生かして君はどう生きるか？,
168,5,4,6,168,真空,しんくう,空,創造系,真形,空の螺旋は真実の理想を見極め、それを具現化する創造力を持つ。,金,義,真実を追求し、理想を具現化する創造的な魂。,「真」：真実、本質的。「空」：無限、抽象的な理想。,『君が追求する真実が、現実の世界で理想の姿をとるだろう。』,この真空の特性を生かして君はどう生きるか？,
169,5,5,1,169,虚数,きょすう,空,直感系,數理,空の螺旋は抽象的な直感を数理的に理解し、現実的な洞察を導き出す。,金,智,抽象的な直感を具体的な洞察に変える魂。,「虚」：抽象的な直感。「数」：論理、具体的な理解。,『君の抽象的な直感は、数理的な理解を通じて真実を明らかにする。』,この虚数の特性を生かして君はどう生きるか？,
170,5,5,2,170,空明,くうめい,空,直感系,陰陽,空の螺旋は直感的な洞察力を陰陽の調和で明確に示す。,金,信,直感的な洞察を明確にし、調和を生み出す魂。,「空」：直感、抽象的。「明」：明確、明るさ。,『君の直感が調和のとれた明確な方向性を世界に示す。』,この空明の特性を生かして君はどう生きるか？,
171,5,5,3,171,空幻,くうげん,空,直感系,易変,空の螺旋は直感で変化を感じ取り、現実と幻想の境界を超えて自在に物事を転換する。,金,智,直感的に変化を捉え、幻想的な世界観を創造する魂。,「空」：無限の可能性、「幻」：幻想的、非現実的,『君が直感で捉えた幻が、現実を新しく創り変える力となる。』,この空幻の特性を生かして君はどう生きるか？,
172,5,5,4,172,律雲,りつうん,空,直感系,螺律,空の螺旋は直感を調和の取れたリズムに乗せ、雲のように自由に流れを作り出す。,金,礼,直感的なリズム感で自由な調和を生み出す魂。,「律」：調和、リズム、「雲」：自由、自在,『君の直感がリズムとなって流れるとき、周囲は自然な調和で満たされる。』,この律雲の特性を生かして君はどう生きるか？,
173,5,5,5,173,霧脈,むみゃく,空,直感系,霊脈,空の螺旋は霊的な感覚を直感的に掴み、霧のように微細で神秘的な繋がりを感じ取る。,金,信,霊的な繋がりを直感的に感じ取り、神秘的な調和を生む魂。,「霧」：微細、神秘、「脈」：繋がり、生命の流れ,『君が直感で掴む霊的な繋がりが、周囲に神秘的な力を与える。』,この霧脈の特性を生かして君はどう生きるか？,
174,5,5,6,174,空鏡,くうきょう,空,直感系,真形,空の螺旋は直感で真実の姿を映し出し、鏡のように純粋で澄み渡った感覚を生み出す。,金,義,直感で真実を映し、純粋な姿を伝える魂。,「空」：純粋、無限、「鏡」：真実を映す、純粋な心,『君が直感で映し出した真実は、澄んだ鏡のように周囲を照らす。』,この空鏡の特性を生かして君はどう生きるか？,
